NAME,B19013_001E,state,place
"Gypsum city, Kansas",44792,20,29250
"New Cambria city, Kansas",53750,20,50300
"Riley city, Kansas",50054,20,59875
"Portis city, Kansas",-666666666,20,57100
"Reserve city, Kansas",28750,20,59050
"Hiawatha city, Kansas",43651,20,31675
"Nickerson city, Kansas",49219,20,50525
"Chapman city, Kansas",44830,20,12550
"Labette city, Kansas",41250,20,37375
"Bird City city, Kansas",45000,20,06825
"Andover city, Kansas",85655,20,01800
"Elbing city, Kansas",61250,20,20050
"Barnard city, Kansas",52500,20,04225
"Harveyville city, Kansas",58523,20,30575
"Oberlin city, Kansas",36688,20,52000
"Galesburg city, Kansas",42813,20,25150
"Ford city, Kansas",55750,20,23725
"Louisburg city, Kansas",56859,20,42875
"Plains city, Kansas",60147,20,56100
"Willard city, Kansas",53750,20,79250
"Parkerfield city, Kansas",58333,20,54560
"LeRoy city, Kansas",47500,20,39650
"Parkerville city, Kansas",36667,20,54575
"Chetopa city, Kansas",35885,20,12950
"Oswego city, Kansas",41369,20,53450
"Shawnee city, Kansas",81964,20,64500
"Westwood city, Kansas",84130,20,77500
"Westwood Hills city, Kansas",127386,20,77525
"Cheney city, Kansas",64013,20,12775
"Linn city, Kansas",45313,20,41425
"Cherryvale city, Kansas",33894,20,12925
"Elk City city, Kansas",27917,20,20250
"Cullison city, Kansas",60000,20,16675
"Pratt city, Kansas",48869,20,57625
"Richfield city, Kansas",103214,20,59200
"Rolla city, Kansas",43438,20,60900
"Jewell city, Kansas",36806,20,35475
"Inman city, Kansas",47019,20,34275
"Clearwater city, Kansas",70323,20,13925
"Leavenworth city, Kansas",58989,20,39000
"Linwood city, Kansas",60521,20,41475
"Bern city, Kansas",68500,20,06275
"Corning city, Kansas",50357,20,15725
"Goff city, Kansas",50500,20,26775
"Oneida city, Kansas",-666666666,20,52900
"Munden city, Kansas",23750,20,49150
"Vining city, Kansas",-666666666,20,73950
"Washington city, Kansas",45521,20,75825
"Coffeyville city, Kansas",36080,20,14600
"Sawyer city, Kansas",-666666666,20,63275
"Oak Hill city, Kansas",11250,20,51700
"Randall city, Kansas",43750,20,58450
"Florence city, Kansas",26250,20,23600
"Marion city, Kansas",44100,20,44750
"Burr Oak city, Kansas",41250,20,09525
"Assaria city, Kansas",64583,20,02850
"Brookville city, Kansas",51250,20,08575
"White City city, Kansas",44375,20,77825
"Wilsey city, Kansas",38333,20,79650
"Kinsley city, Kansas",46875,20,37075
"Morganville city, Kansas",42500,20,48225
"Wakefield city, Kansas",61250,20,74525
"Durham city, Kansas",37188,20,19050
"Moscow city, Kansas",49286,20,48600
"Carbondale city, Kansas",46806,20,10600
"Netawaka city, Kansas",60208,20,49950
"McCracken city, Kansas",29375,20,43700
"Rush Center city, Kansas",49250,20,61775
"Osage City city, Kansas",29955,20,53200
"Mission Hills city, Kansas",250001,20,47350
"Galena city, Kansas",40139,20,25100
"Haviland city, Kansas",48021,20,30825
"Mullinville city, Kansas",45833,20,49075
"Topeka city, Kansas",46087,20,71000
"Plevna city, Kansas",33750,20,56725
"Grenola city, Kansas",49583,20,28800
"Auburn city, Kansas",59250,20,03250
"Abbyville city, Kansas",43125,20,00100
"South Hutchinson city, Kansas",35046,20,66750
"Sylvia city, Kansas",50714,20,69800
"Fredonia city, Kansas",39428,20,24575
"Buffalo city, Kansas",35694,20,09150
"Neodesha city, Kansas",40787,20,49650
"Girard city, Kansas",40136,20,26300
"Bartlett city, Kansas",-666666666,20,04350
"Goodland city, Kansas",52538,20,26875
"Garden Plain city, Kansas",56458,20,25375
"Eastborough city, Kansas",120417,20,19300
"Mount Hope city, Kansas",50000,20,48900
"Minneola city, Kansas",53958,20,47150
"Elk Falls city, Kansas",24250,20,20300
"Longton city, Kansas",35833,20,42650
"Arlington city, Kansas",37125,20,02325
"Partridge city, Kansas",43958,20,54700
"Pretty Prairie city, Kansas",35341,20,57700
"Wathena city, Kansas",51684,20,76000
"Brownell city, Kansas",46250,20,08675
"Mayfield city, Kansas",70227,20,45275
"Mulvane city, Kansas",64715,20,49100
"Hamlin city, Kansas",29792,20,29700
"Severance city, Kansas",30000,20,64025
"Coolidge city, Kansas",30625,20,15400
